0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,#100
0.51208,1.8411,2.4759,1.85,0.43162,1.5355,1.4473,1.5957,0.8848,0.34001,0.59526,0.6838,0.30666,0.25755,0.74381,0.33973,0.24898,0.29208,0.42083,0.45338,0.21743,0.090205,0.10414,0.24139,0.16333,0.050884,0.13058,0.19307,0.27837,0.13395,0.018868,0.10095,0.17577,0.1028,0.14956,0.071926,0.035633,0.26758,0.11721,0.051502,0.1786,0.15164,0.16964,0.67048,1.3882,0.21772,0.90975,0.70094,0.1793,0.11098,0.18023,0.18666,0.19151,0.08156,0.17481,0.099905,0.010239,0.021675,0.033383,0.22105,0.041655,0.088846,0.046583,0.089382,0.13374,0.12234,0.024609,0.11496,0.10584,0.029047,0.10033,0.035777,0.10163,0.11491,0.083892,0.10578,0.046682,0.17872,0.049624,0.030298,0.065684,0.015828,0.11264,0.13388,0.12628,0.18149,0.30015,0.65918,0.087867,0.081255,0.076314,0.16343,0.28906,0.43991,0.1824,0.28272,0.077164,0.066729,0.047349,0.047262,0
0.27576,0.82065,0.37635,0.71071,0.37821,0.59862,0.24854,0.65431,0.27557,1.4692,0.37421,0.42926,1.0386,0.76243,0.41279,0.63734,1.0989,0.8345,0.48314,1.6281,0.57731,0.38032,0.35775,0.24472,0.11396,0.40245,0.31659,0.024104,0.10721,0.23312,0.14657,0.21239,0.24621,0.40485,0.37595,0.086322,0.26737,0.71116,0.36873,0.18108,0.28083,0.24434,0.29292,0.26434,0.28378,0.16122,0.26472,0.049292,0.13209,0.18512,0.20946,0.25304,0.16134,0.16401,0.18578,0.28413,0.41061,0.23363,0.13656,0.1246,0.14146,0.085293,0.063605,0.17482,0.08789,0.020672,0.11578,0.10372,0.11753,0.07826,0.1398,0.15439,0.18383,0.79346,0.065095,0.16796,0.19087,0.082061,0.11396,0.10306,0.098795,0.049887,0.044565,0.035235,0.058621,0.010482,0.063886,0.10806,0.11839,0.072922,0.045498,0.098028,0.14955,0.039853,0.0723,0.045174,0.0087624,0.010989,0.020014,0.027011,0
0.38004,0.97602,0.95291,0.51264,1.323,1.3101,1.3017,0.18423,0.9287,0.73909,0.57244,0.21719,0.18074,0.57363,0.54813,0.28149,0.39184,0.1554,0.44837,0.20092,0.43311,0.29218,0.22892,0.29111,0.3895,0.09006,0.21695,0.13711,0.14008,0.20636,0.056975,0.11543,0.16329,0.026418,0.098805,0.22591,0.21159,0.12345,0.10407,0.1645,0.06264,0.10053,0.061976,0.03366,0.097989,0.04963,0.28192,0.044733,0.021857,0.034958,0.11112,0.2806,0.22729,0.22166,0.13059,0.035322,0.17396,0.054083,0.020511,0.042327,0.087721,0.136,0.059104,0.037416,0.042971,0.066118,0.083053,0.024362,0.083618,0.097521,0.068827,0.11236,0.025784,0.06604,0.10794,0.018792,0.12615,0.041941,0.14413,0.045315,0.078152,0.091008,0.059661,0.040283,0.072519,0.024019,0.02729,0.037565,0.0082341,0.0046305,0.087711,0.03019,0.02297,0.037433,0.012085,0.011965,0.025376,0.05166,0.02069,0.02253,0
10.033,1.3144,0.71646,1.8198,0.59363,1.0587,1.0725,1.1981,0.11567,1.0337,0.43123,0.4521,0.39351,0.15831,0.63652,0.85003,0.89325,0.34111,0.67848,0.32824,0.54533,0.21759,0.58653,0.34677,0.44064,0.32416,0.10572,0.26608,0.1572,0.15948,0.13406,0.076472,0.033311,0.39055,0.15794,0.22818,0.30563,0.085729,0.16627,0.17005,0.18448,0.16885,0.10993,0.10683,0.11469,0.20059,0.059397,0.061594,0.075332,0.044571,0.16825,0.095753,0.10463,0.027185,0.15787,0.12311,0.04065,0.040361,0.07422,0.041482,0.083288,0.02508,0.024985,0.075175,0.096353,0.026577,0.042995,0.13888,0.022908,0.080068,0.10954,0.026728,0.060232,0.081166,0.04593,0.014954,0.051789,0.041673,0.0097796,0.037481,0.024118,0.024991,0.056009,0.004529,0.020167,0.036166,0.0092821,0.088027,0.078865,0.071968,0.055849,0.010963,0.053382,0.070761,0.05187,0.014542,0.019277,0.025899,0.012656,0.011469,0
15.263,1.0835,1.9807,1.1929,2.0657,0.10798,2.0645,0.63052,0.12622,0.83893,0.60855,0.71733,0.69859,0.67729,0.92595,0.28402,1.2341,0.059945,0.76837,0.8584,0.3223,0.54515,0.062554,0.81261,0.49939,0.18628,0.12388,0.31178,0.2622,0.42062,1.0124,0.28436,0.18795,0.38477,0.15226,0.24715,0.15568,0.2294,0.18312,0.29669,0.13095,0.37232,0.1909,0.04061,0.086264,0.31415,0.45393,0.14203,0.32823,0.063361,0.096948,0.24195,0.04479,0.11352,0.18474,0.04657,0.094684,0.022924,0.092507,0.16864,0.19537,0.12446,0.076067,0.044411,0.027139,0.062936,0.18444,0.19286,0.15094,0.010062,0.029015,0.070869,0.073827,0.034977,0.12367,0.084208,0.12105,0.18591,0.12932,0.054075,0.1451,0.044363,0.11174,0.053588,0.18158,0.1285,0.067171,0.071378,0.072873,0.093843,0.072197,0.078172,0.042612,0.020423,0.079256,0.069534,0.049111,0.057599,0.052938,0.04078,0
24.876,19.807,7.0964,6.4979,4.3618,1.2691,3.5995,4.154,2.278,2.662,1.1511,2.6092,1.1748,1.6231,1.2375,1.3165,1.5274,1.6845,0.64677,1.2597,0.68464,0.71554,0.66154,0.9631,0.65005,0.84609,0.9137,0.69582,0.78444,0.85376,1.8051,0.54562,0.73712,0.45615,0.61827,0.56237,0.71158,0.48681,0.5994,0.59971,0.56379,0.41198,0.15319,0.36242,0.3898,0.77073,0.28302,0.24824,0.39051,0.38716,0.39182,0.48475,0.27358,0.31748,0.33583,0.4371,0.38292,0.31594,0.33264,0.31538,0.27872,0.33854,0.33891,0.24213,0.30735,0.44407,0.42023,0.24221,0.32142,0.27224,0.33161,0.34747,0.3079,0.30608,0.34467,0.284,0.27322,0.34939,0.20725,0.28224,0.28528,0.22329,0.3391,0.39681,0.24731,0.38015,0.28329,0.26502,0.31016,0.23886,0.25695,0.25277,0.3262,0.28885,0.29393,0.30671,0.2576,0.33047,0.28988,0.27885,0
1.5036,2.3167,0.81215,1.5727,2.9642,0.38226,3.4659,0.46884,0.25697,0.27215,0.27889,0.36001,0.86975,1.5312,2.6478,0.7612,0.087363,0.78113,1.1423,0.52332,0.29857,0.30262,0.061242,0.41238,1.6364,0.72122,0.30368,0.44209,0.42431,0.22119,1.3397,0.53155,0.25798,0.27816,0.38446,0.22983,1.0316,0.02677,0.12581,0.27435,0.16552,0.14465,0.36523,0.1786,0.15659,0.1596,0.0022426,0.021376,0.12729,0.036623,0.028091,0.077631,0.01578,0.019906,0.060481,0.0099333,0.031546,0.0379,0.024224,0.021275,0.074613,0.060188,0.042629,0.056526,0.019578,0.0058244,0.033341,0.021915,0.022601,0.009799,0.026319,0.017481,0.022255,0.021665,0.011418,0.0040608,0.018388,0.016423,0.013423,0.013411,0.013189,0.016591,0.0080542,0.011159,0.016959,0.011174,0.01012,0.016658,0.0062312,0.007174,0.0078769,0.007786,0.0076582,0.0091895,0.0073959,0.0077413,0.0062189,0.0123,0.0098574,0.0094904,0
0.31955,1.3033,1.5048,0.97983,0.25585,0.25568,3.1822,0.25125,0.43298,0.64558,0.41952,0.69083,0.37268,0.17627,0.065736,0.13685,0.84782,0.13017,0.49358,0.12521,0.38417,0.21099,0.49136,0.20819,0.94875,0.23109,0.29298,0.45978,0.089723,0.73707,2.372,0.57296,0.42024,0.74024,0.28039,0.29885,0.46502,0.28172,0.40401,1.0344,0.32564,0.81539,1.0425,0.29463,0.31543,0.38603,0.41341,0.11107,0.35362,0.30665,0.048586,0.085955,0.24022,0.338,0.17443,0.22207,0.19669,0.15339,0.10102,0.09443,0.14942,0.050448,0.10213,0.18242,0.29902,0.14283,0.13934,0.085429,0.085231,0.047852,0.056919,0.068764,0.11437,0.1317,0.046989,0.08533,0.077935,0.042164,0.063599,0.039869,0.036447,0.023811,0.061673,0.052142,0.03523,0.036623,0.034343,0.036722,0.041374,0.030957,0.033063,0.032617,0.036633,0.030132,0.03101,0.031473,0.032362,0.024496,0.029306,0.029678,0
1.2444,2.8257,3.2133,1.2799,1.8112,1.218,4.3184,0.3499,1.0078,0.26288,0.43101,0.71983,0.094819,0.61952,0.19349,0.23541,1.2101,0.45089,1.0486,0.90986,0.10064,0.075661,0.41662,0.32948,0.64175,0.60835,0.34431,0.1139,0.33755,0.18832,2.4639,0.11177,0.11353,0.10442,0.46709,0.23807,0.83659,0.26675,0.13243,0.11623,0.21111,0.12756,0.89541,0.33463,0.34112,0.44382,0.067689,0.10243,0.19209,0.051928,0.010715,0.094672,0.066107,0.13744,0.21057,0.15991,0.1306,0.07133,0.10018,0.020922,0.22678,0.040791,0.098477,0.090627,0.096951,0.11094,0.10357,0.097363,0.12043,0.061935,0.059905,0.032825,0.040262,0.092628,0.075985,0.12088,0.046616,0.057071,0.079744,0.063927,0.066487,0.043156,0.068243,0.065911,0.069696,0.079648,0.11575,0.083062,0.097605,0.010216,0.061587,0.070819,0.061582,0.079501,0.05089,0.062452,0.056876,0.055032,0.037904,0.058788,0
5.9165,5.3227,3.9597,1.2056,3.5166,2.7859,3.3425,1.3937,0.67243,2.2118,2.0803,1.0803,1.0382,1.3704,1.8719,0.78755,0.53495,0.95434,0.85054,3.615,2.5022,1.4245,0.75766,1.0488,1.0481,1.1188,0.49403,0.92852,1.5942,0.51604,2.1368,0.82821,0.82362,1.2824,1.0379,0.3618,0.54807,0.30568,0.062016,0.44514,0.64416,0.64986,1.6507,0.77348,0.35788,0.030942,0.39539,0.156,0.20602,0.29735,0.36462,0.31989,0.43415,0.52728,0.40256,0.37391,0.38439,0.15202,0.081562,0.085172,0.24538,0.23167,0.21691,0.23038,0.064097,0.1795,0.089598,0.097062,0.17447,0.20815,0.23305,0.17016,0.1885,0.22727,0.16177,0.17281,0.12809,0.26044,0.15851,0.20639,0.20007,0.063151,0.13855,0.20635,0.16893,0.17176,0.11026,0.12245,0.17689,0.24352,0.17727,0.15236,0.15869,0.21708,0.077848,0.089756,0.18822,0.25231,0.23573,0.18708,0
